"Zone" "Ward" "Area" "Location" "Street" "Cases" "importDate"
4 35 "Erukkencherry" "Nehru Nagar" "Parthasarathy Reddy St" 1 "2021-05-03"
4 35 "Erukkencherry" "Nehru Nagar" "Eswaran Koil Street" 1 "2021-05-03"
4 35 "Kodungaiyur" "Muthamil Nagar" "Muthamil Nagar 2nd Main Road" 1 "2021-05-03"
4 35 "Kodungaiyur" "Muthamil Nagar" "Muthamil Nagar Viii Block 208th Street" 1 "2021-05-03"
4 35 "Kodungaiyur" "Abirami Avenue" "Abirami Avenue 8th Street" 1 "2021-05-03"
4 35 "Kodungaiyur" "Gandhi Nagar" "Gandhi Nagar 5th Street" 1 "2021-05-03"
4 35 "Kodungaiyur" "Muthamil Nagar" "Muthamil Nagar I Block 23rd Street" 1 "2021-05-03"
4 35 "Kodungaiyur" "Muthamil Nagar" "Muthamil Nagar I Block 18th  Street" 1 "2021-05-03"
4 35 "Kodungaiyur" "K.K.D.Nagar" "K.K.D.Nagar 3rd Block 4th  Cross Street" 1 "2021-05-03"
4 35 "Kodungaiyur" "Muthamil Nagar" "Muthamil Nagar Ii  Block 39th Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "Sharma Nagar" "Sharma Nagar 1st Main Road" 2 "2021-05-03"
4 36 "Vyasarpadi" "Sharma Nagar" "Sharma Nagar 2nd Street" 1 "2021-05-03"
4 36 "Kodungaiyur" "V.V.Nagar" "Vivekananda Nagar 2nd Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "Indira Gandhi Nagar" "Indira Ghandhi Nagar 2nd Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "Sharma Nagar" "Sharma Nagar Xi Cross Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "S.A. Colony" "S.A. Colony V Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "M.K.B. Nagar" "14th West Cross Street" 1 "2021-05-03"
4 36 "Kodungaiyur" "T.V.Nagar" "T.V.Nagar 1st Main Road" 1 "2021-05-03"
4 36 "Vyasarpadi" "Sharma Nagar" "Sharma Nagar V Cross Street" 1 "2021-05-03"
4 36 "Kodungaiyur" "T.V Nagar" "T.V Nagar 4th Main Road" 1 "2021-05-03"
4 36 "Vyasarpadi" "S.A. Colony" "S.A. Colony Vii  Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "M.K.B. Nagar" "Pudu Nagar Iii Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "M.K.B. Nagar" "16th West Cross Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "Sharma Nagar" "Sharma Nagar 1st Street" 1 "2021-05-03"
4 36 "Kodungaiyur" "T.V.Nagar" "T.V.Nagar 10th Main Road" 1 "2021-05-03"
4 36 "Kodungaiyur" "Lakshmi Amman Nagar" "Visalakshi 1st Cross St" 1 "2021-05-03"
4 36 "Vyasarpadi" "S.A. Colony" "S.A. Colony Viii Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "Sathyavani Muthu Nagar" "Karunanidhi Salai 10th Street" 1 "2021-05-03"
4 36 "Vyasarpadi" "M.K.B. Nagar" "Pudu Nagar Vii Street" 1 "2021-05-03"
